Route Name,Route Link,Bus Name,Bus Type,Bus Rating,Departure Time,Arrival Time,Duration,Available Seats,Price
Guwahati to Shillong,https://www.redbus.in/bus-tickets/guwahati-to-shillong,Meghalaya Transport Corporation(MTC) - 163300,Force Motors Non A/C Seater Executive (2+2),4.3,07:00,10:00,03h 00m,"3 Seats available
2 Window",INR 200
Guwahati to Shillong,https://www.redbus.in/bus-tickets/guwahati-to-shillong,NETWORK TRAVELS,Bharat Benz A/C Sleeper (2+1),3.7,05:10,07:40,02h 30m,"21 Seats available
8 Single",INR 400
Shillong to Tura (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,Meghalaya Transport Corporation(MTC) - 163306,Tata Non A/C Seater Executive Luxury (2+2),3.4,17:00,03:30,10h 30m,"11 Seats available
2 Window",INR 517
Shillong to Tura (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-tura-meghalaya,NETWORK TRAVELS,NON A/C Seater (2+2),4.2,17:00,06:30,13h 30m,"35 Seats available
16 Window",INR 600
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Meghalaya Transport Corporation(MTC) - 169753,Force Motors Non A/C Seater Executive (2+2),3.8,08:00,10:30,02h 30m,"15 Seats available
7 Window",INR 200
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Meghalaya Transport Corporation(MTC) - 172215,Force Motors Non A/C Seater Executive (2+2),4.3,15:00,18:00,03h 00m,"12 Seats available
5 Window",INR 200
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,Upasana Travels (Under ASTC),Non AC Seater (2+2),3.4,07:00,11:00,04h 00m,"40 Seats available
20 Window",INR 325
Shillong to Guwahati,https://www.redbus.in/bus-tickets/shillong-to-guwahati,RAYAN TRAVELS,Non A/C Seater / Sleeper (2+1),3.8,16:00,18:30,02h 30m,"40 Seats available
3 Single",INR 350
Tura (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),3.5,18:30,04:00,09h 30m,"16 Seats available
6 Window",INR 517
Tura (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,Meghalaya Transport Corporation(MTC) - 171165,Tata Non A/C Seater Executive Luxury (2+2),3.5,18:30,04:00,09h 30m,"27 Seats available
11 Window",INR 517
Tura (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/tura-meghalaya-to-shillong,NETWORK TRAVELS,NON A/C Seater (2+2),3.5,19:00,08:00,13h 00m,"33 Seats available
15 Window",INR 600
Shillong to Silchar,https://www.redbus.in/bus-tickets/shillong-to-silchar,Meghalaya Transport Corporation(MTC) - 163308,Tata Non A/C Seater Executive Luxury (2+2),3.2,19:15,05:00,09h 45m,"23 Seats available
9 Window",INR 384
Shillong to Silchar,https://www.redbus.in/bus-tickets/shillong-to-silchar,Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),2.0,09:00,17:30,08h 30m,"31 Seats available
18 Window",INR 700
Shillong to Silchar,https://www.redbus.in/bus-tickets/shillong-to-silchar,SEEMA TRAVELS,A/C Seater (2+2),2.3,20:30,05:30,09h 00m,"38 Seats available
19 Window",INR 750
Shillong to Silchar,https://www.redbus.in/bus-tickets/shillong-to-silchar,SEEMA TRAVELS,NON AC Seater / Sleeper 2+1,2.3,20:30,05:00,08h 30m,"41 Seats available
26 Window",INR 650
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,Meghalaya Transport Corporation(MTC) - 163362,Tata Non A/C Seater Executive Luxury (2+2),3.0,18:00,03:30,09h 30m,"8 Seats available
3 Window",INR 384
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,Meghalaya Transport Corporation(MTC) - 170307,Tata Non A/C Seater Executive Luxury (2+2),3.4,18:00,03:30,09h 30m,"17 Seats available
6 Window",INR 384
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,Assam State Transport Corporation (ASTC) - 139638,NON A/C Seater Push Back (2+1),2.9,16:45,03:00,10h 15m,"4 Seats available
1 Single",INR 408
Silchar to Shillong,https://www.redbus.in/bus-tickets/silchar-to-shillong,Jagannath Travels and Tours Pvt. Ltd.,NON A/C Seater Push Back (2+1),2.1,18:30,03:00,08h 30m,"33 Seats available
21 Window",INR 600
Shillong to Karimganj,https://www.redbus.in/bus-tickets/shillong-to-karimganj,Meghalaya Transport Corporation(MTC) - 163360,Tata Non A/C Seater Executive Luxury (2+2),3.7,19:15,04:30,09h 15m,"13 Seats available
6 Window",INR 371
Shillong to Karimganj,https://www.redbus.in/bus-tickets/shillong-to-karimganj,RAYAN TRAVELS,NON A/C Seater (2+2),3.6,19:00,04:30,09h 30m,"34 Seats available
15 Window",INR 650
Shillong to Karimganj,https://www.redbus.in/bus-tickets/shillong-to-karimganj,NETWORK TRAVELS,NON A/C Seater Push Back (2+1),3.7,20:30,05:00,08h 30m,"29 Seats available
18 Window",INR 650
Shillong to Karimganj,https://www.redbus.in/bus-tickets/shillong-to-karimganj,JAYSIKA,NON A/C Seater Push Back (2+1),2.1,20:00,05:00,09h 00m,"34 Seats available
21 Window",INR 700
Shillong to Williamnagar (Meghalaya),https://www.redbus.in/bus-tickets/shillong-to-williamnagar-meghalaya,Meghalaya Transport Corporation(MTC) - 163306,Tata Non A/C Seater Executive Luxury (2+2),3.3,17:00,05:00,12h 00m,"11 Seats available
2 Window",INR 581
Karimganj to Shillong,https://www.redbus.in/bus-tickets/karimganj-to-shillong,Meghalaya Transport Corporation(MTC) - 163361,Tata Non A/C Seater Executive Luxury (2+2),3.0,18:00,03:30,09h 30m,"4 Seats available
1 Window",INR 371
Karimganj to Shillong,https://www.redbus.in/bus-tickets/karimganj-to-shillong,Meghalaya Transport Corporation(MTC) - 170076,Tata Non A/C Seater Executive Luxury (2+2),3.0,18:00,03:30,09h 30m,"19 Seats available
9 Window",INR 371
Karimganj to Shillong,https://www.redbus.in/bus-tickets/karimganj-to-shillong,JAYSIKA,NON A/C Seater Push Back (2+1),2.6,17:20,03:00,09h 40m,"34 Seats available
21 Window",INR 650
Williamnagar (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/williamnagar-meghalaya-to-shillong,Meghalaya Transport Corporation(MTC) - 163370,Tata Non A/C Seater Executive Luxury (2+2),3.0,17:00,04:00,11h 00m,"17 Seats available
7 Window",INR 581
Williamnagar (Meghalaya) to Shillong,https://www.redbus.in/bus-tickets/williamnagar-meghalaya-to-shillong,Meghalaya Transport Corporation(MTC) - 171165,Tata Non A/C Seater Executive Luxury (2+2),3.0,17:00,04:00,11h 00m,"26 Seats available
10 Window",INR 581
